date,open,close,high,low,volume,money
2007-07-19,9.61,10.43,11.06,9.19,418574679.0,4119470085.0
2007-07-20,10.09,11.48,11.48,10.04,201156542.0,2154975046.0
2007-07-23,11.69,11.93,12.47,11.57,210986704.0,2546044201.0
2007-07-24,11.93,12.25,12.71,11.7,114344227.0,1397098913.0
2007-07-25,12.2,13.48,13.48,12.07,115332684.0,1465465699.0
2007-07-26,13.42,13.53,14.33,13.11,141933708.0,1949880898.0
2007-07-27,13.23,13.56,13.67,13.12,72482520.0,969020492.0
2007-07-30,13.44,13.41,13.82,13.2,63150402.0,851815816.0
2007-07-31,13.21,13.25,13.62,12.84,68284037.0,899301543.0
2007-08-01,13.25,13.3,13.82,12.73,69965465.0,939223208.0
2007-08-02,13.35,14.43,14.63,13.35,117159792.0,1634024361.0
2007-08-03,14.48,14.83,15.16,14.11,92435782.0,1344531130.0
2007-08-06,14.62,14.41,14.7,14.15,71512266.0,1027897692.0
2007-08-07,14.33,14.04,14.33,13.89,57197214.0,804214183.0
2007-08-08,13.77,13.9,14.38,13.63,50967285.0,715001403.0
2007-08-09,13.98,13.77,14.2,13.63,41535308.0,573925306.0
2007-08-10,13.77,13.2,13.88,12.73,56685336.0,751465289.0
2007-08-13,12.92,13.01,13.63,12.5,53277033.0,694515651.0
2007-08-14,12.89,13.23,13.34,12.85,30821977.0,404321880.0
2007-08-15,13.24,13.36,13.57,13.1,30410993.0,406956474.0
2007-08-16,13.2,12.76,13.21,12.67,42558672.0,546321973.0
2007-08-17,12.64,12.4,12.95,12.35,32404760.0,408251770.0
2007-08-20,12.78,13.01,13.2,12.64,29645448.0,384159520.0
2007-08-21,13.17,12.8,13.2,12.69,34293193.0,440535735.0
2007-08-22,12.64,13.28,13.44,12.54,58514864.0,757379624.0
2007-08-23,13.28,13.01,13.28,12.91,28389130.0,371133641.0
2007-08-24,13.01,13.15,13.42,12.97,42809773.0,566965717.0
2007-08-27,13.16,13.47,13.9,13.16,54400888.0,738330426.0
2007-08-28,13.44,13.02,13.44,12.87,32520801.0,423907367.0
2007-08-29,12.87,12.6,12.88,12.53,30507660.0,386185148.0
2007-08-30,12.66,12.75,12.91,12.52,21564445.0,273101998.0
2007-08-31,12.75,12.68,12.78,12.52,17842410.0,225178545.0
2007-09-03,12.67,12.66,12.83,12.64,24079548.0,305769653.0
2007-09-04,12.66,12.42,12.66,12.35,30507779.0,379367636.0
2007-09-05,12.5,12.72,12.8,12.42,20197961.0,255276716.0
2007-09-06,12.81,12.73,12.96,12.59,27870480.0,356256360.0
2007-09-07,12.63,12.56,13.08,12.38,34799201.0,442928937.0
2007-09-10,12.26,12.4,12.64,12.11,28289233.0,346415388.0
2007-09-11,12.45,11.51,12.45,11.48,30379743.0,363900103.0
2007-09-12,11.48,11.43,11.78,11.2,20520814.0,233795492.0
2007-09-13,11.58,11.58,11.78,11.43,19835268.0,229491577.0
2007-09-14,11.61,11.46,11.69,11.17,23690343.0,269826682.0
2007-09-17,11.56,11.69,11.74,11.51,19787961.0,230667082.0
2007-09-18,11.73,11.86,11.86,11.32,22118676.0,254953314.0
2007-09-19,11.91,11.34,11.98,11.32,20231606.0,233554188.0
2007-09-20,11.43,11.44,11.67,11.32,15454897.0,176501959.0
2007-09-21,11.32,10.89,11.34,10.65,28965912.0,315340492.0
2007-09-24,10.88,10.47,10.88,10.27,24164124.0,253640798.0
2007-09-25,10.51,10.62,10.76,10.39,18952613.0,200316342.0
2007-09-26,10.66,10.61,10.8,10.47,10817817.0,115329014.0
2007-09-27,10.61,10.76,10.84,10.51,14037109.0,149650618.0
2007-09-28,10.85,10.8,10.85,10.69,16067790.0,173245044.0
2007-10-08,10.87,11.05,11.32,10.76,29005648.0,321810512.0
2007-10-09,11.06,10.91,11.12,10.86,17331859.0,189674628.0
2007-10-10,10.94,10.94,11.32,10.89,20719497.0,230398235.0
2007-10-11,11.01,10.73,11.02,10.51,24929008.0,265862998.0
2007-10-12,10.74,10.44,10.89,9.9,26624118.0,277204435.0
2007-10-15,10.54,10.41,10.73,10.19,17108549.0,178864362.0
2007-10-16,10.38,11.45,11.45,10.33,55502249.0,612371103.0
2007-10-17,11.45,10.95,11.5,10.86,42868285.0,477883114.0
2007-10-18,10.95,10.57,10.99,10.49,17132567.0,183120235.0
2007-10-19,10.28,9.96,10.51,9.85,105302111.0,1054472954.0
2007-10-22,9.94,9.43,9.94,9.34,50731158.0,483678184.0
2007-10-23,9.52,9.74,9.79,9.35,45568892.0,434923622.0
2007-10-24,9.71,9.71,9.9,9.6,41557822.0,405954843.0
2007-10-25,9.72,9.15,9.85,8.96,48730258.0,458441360.0
2007-10-26,9.1,9.22,9.42,8.96,25753292.0,236252277.0
2007-10-29,9.42,9.38,9.71,9.1,26901808.0,254496622.0
2007-10-30,9.42,9.6,9.81,9.41,25189721.0,241561110.0
2007-10-31,9.67,9.93,10.02,9.46,52048259.0,509465734.0
2007-11-01,9.89,9.64,9.9,9.61,29504332.0,287564398.0
2007-11-02,9.43,9.23,9.52,9.17,26173498.0,243903641.0
2007-11-05,9.19,9.29,9.42,9.1,16777772.0,155600605.0
2007-11-06,9.3,9.48,9.7,9.3,23903146.0,227305438.0
2007-11-07,9.53,9.48,9.7,9.21,13217389.0,125154618.0
2007-11-08,9.49,9.0,9.49,8.96,19598480.0,181245385.0
2007-11-09,9.0,8.86,9.11,8.77,21221215.0,188879936.0
2007-11-12,8.62,8.41,8.77,8.23,24273822.0,205214732.0
2007-11-13,8.5,8.43,8.67,8.23,18646675.0,157787337.0
2007-11-14,8.56,8.72,8.76,8.44,17630874.0,151733159.0
2007-11-15,8.71,8.53,8.79,8.5,15816407.0,136391590.0
2007-11-16,8.41,8.63,8.72,8.28,19176684.0,162951216.0
2007-11-19,8.68,8.92,9.11,8.68,36459855.0,326216313.0
2007-11-20,8.81,8.87,9.05,8.69,21983619.0,195414646.0
2007-11-21,8.92,8.96,9.08,8.86,16910411.0,151581405.0
2007-11-22,8.77,8.4,8.89,8.35,16236913.0,139669194.0
2007-11-23,8.28,8.51,8.51,8.28,13073934.0,109730370.0
2007-11-26,8.67,8.36,8.69,8.33,15072358.0,127987221.0
2007-11-27,8.3,8.74,9.15,8.3,42650749.0,374507564.0
2007-11-28,8.74,8.6,8.77,8.54,19209073.0,166188247.0
2007-11-29,8.82,9.46,9.46,8.76,119670441.0,1110158499.0
2007-11-30,9.34,9.47,9.72,9.28,85388805.0,809504260.0
2007-12-03,9.49,9.43,9.66,9.37,40292464.0,383045864.0
2007-12-04,9.43,9.43,9.43,9.43,0.0,0.0
2007-12-05,9.38,9.55,9.61,9.33,36517423.0,346152644.0
2007-12-06,9.67,9.48,9.8,9.37,29221357.0,279622473.0
2007-12-07,9.51,9.43,9.53,9.22,30824162.0,288732639.0
2007-12-10,9.24,9.63,9.67,9.19,41847597.0,394977369.0
2007-12-11,9.64,9.59,9.71,9.37,33055861.0,314164131.0
2007-12-12,9.54,9.39,9.54,9.29,24695277.0,231380883.0
2007-12-13,9.34,9.46,9.79,9.28,56044603.0,538192666.0
2007-12-14,9.41,9.97,10.14,9.34,75284766.0,740902555.0
2007-12-17,9.9,9.89,10.11,9.81,43380952.0,431984567.0
2007-12-18,9.81,10.09,10.33,9.77,43442534.0,439921667.0
2007-12-19,10.22,10.19,10.43,10.14,38953727.0,400265009.0
2007-12-20,10.18,10.19,10.32,10.07,25001674.0,254746769.0
2007-12-21,10.09,10.16,10.28,10.05,27955305.0,283496362.0
2007-12-24,10.19,10.4,10.47,10.0,38742599.0,396410931.0
2007-12-25,10.45,10.33,10.5,10.28,21101119.0,218733727.0
2007-12-26,10.42,10.45,10.58,10.28,26396908.0,274937437.0
2007-12-27,10.49,10.56,10.75,10.49,31872030.0,338738143.0
2007-12-28,10.56,10.34,10.56,10.28,29603470.0,307745874.0
2008-01-02,10.37,10.23,10.41,10.09,30264253.0,309663230.0
2008-01-03,10.24,10.29,10.31,9.98,43426806.0,438456107.0
2008-01-04,10.35,10.42,10.47,10.25,30911877.0,320623915.0
2008-01-07,10.37,10.54,10.64,10.25,36782382.0,386489961.0
2008-01-08,10.57,10.24,10.81,10.21,39067285.0,412429890.0
2008-01-09,10.22,10.3,10.36,10.15,24342401.0,249505374.0
2008-01-10,10.37,10.16,10.4,10.09,33967420.0,346251812.0
2008-01-11,10.22,10.62,10.7,10.22,45134278.0,473201619.0
2008-01-14,10.62,10.62,10.62,10.62,0.0,0.0
2008-01-15,10.7,10.45,10.7,10.38,31621692.0,332743119.0
2008-01-16,10.36,9.88,10.36,9.84,37523417.0,377358391.0
2008-01-17,9.81,9.62,9.98,9.38,34114376.0,328728618.0
2008-01-18,9.58,9.61,9.71,9.39,18106187.0,172743006.0
2008-01-21,9.57,8.8,9.6,8.77,28724108.0,262415175.0
2008-01-22,8.62,7.99,8.67,7.92,38920914.0,321655229.0
2008-01-23,8.02,8.28,8.36,8.02,22693529.0,186399210.0
2008-01-24,8.44,8.3,8.48,8.13,21712968.0,180229502.0
2008-01-25,8.3,8.56,8.63,8.1,27161325.0,227718814.0
2008-01-28,8.46,7.92,8.46,7.78,21945239.0,177088242.0
2008-01-29,7.93,8.11,8.18,7.86,10584563.0,84937662.0
2008-01-30,8.19,8.0,8.29,7.77,10954519.0,88343962.0
2008-01-31,7.97,8.03,8.19,7.9,11340359.0,91736680.0
2008-02-01,8.13,8.39,8.48,7.78,25775826.0,211264149.0
2008-02-04,8.82,9.04,9.08,8.61,33965195.0,300398388.0
2008-02-05,8.83,8.75,8.95,8.63,17958864.0,158142058.0
