date,open,close,high,low,volume,money
2011-12-12,6.65,6.06,6.75,5.97,278337903.0,1746653696.0
2011-12-13,6.14,6.2,6.4,6.01,180697619.0,1122589696.0
2011-12-14,6.16,6.28,6.33,5.85,127382515.0,778380480.0
2011-12-15,6.13,6.05,6.57,6.02,165719518.0,1041247104.0
2011-12-16,5.94,6.25,6.27,5.87,132588735.0,800084864.0
2011-12-19,6.09,6.43,6.5,5.95,126645080.0,784525376.0
2011-12-20,6.39,6.11,6.47,6.1,96372017.0,605343040.0
2011-12-21,6.2,5.93,6.34,5.9,87067791.0,533717408.0
2011-12-22,5.68,5.56,5.79,5.39,98724346.0,551361216.0
2011-12-23,5.5,5.43,5.71,5.39,84172297.0,465116384.0
2011-12-26,5.35,5.23,5.47,5.22,56005033.0,298420992.0
2011-12-27,5.19,5.25,5.59,5.1,92661940.0,494367040.0
2011-12-28,5.11,5.43,5.54,5.04,95808394.0,506495680.0
2011-12-29,5.29,5.25,5.4,5.24,57542673.0,305869632.0
2011-12-30,5.31,5.42,5.62,5.26,71074137.0,388631456.0
2012-01-04,5.45,5.2,5.45,5.17,49166822.0,261376544.0
2012-01-05,5.12,5.13,5.36,5.08,44752376.0,233433984.0
2012-01-06,5.17,5.36,5.48,5.07,70343498.0,373152768.0
2012-01-09,5.31,5.61,5.63,5.23,90562442.0,496014784.0
2012-01-10,5.57,5.71,5.81,5.52,93922693.0,531473952.0
2012-01-11,5.69,5.72,5.83,5.64,64954949.0,371952736.0
2012-01-12,5.63,5.53,5.66,5.5,61401392.0,342416096.0
2012-01-13,5.51,5.29,5.59,5.26,46128551.0,248152240.0
2012-01-16,5.22,5.19,5.34,5.14,29627285.0,154847824.0
2012-01-17,5.22,5.54,5.58,5.14,52823995.0,284705408.0
2012-01-18,5.54,5.5,6.06,5.45,85376224.0,487665920.0
2012-01-19,5.47,5.65,5.79,5.38,56561466.0,317489216.0
2012-01-20,5.66,5.65,5.69,5.52,38719636.0,217668752.0
2012-01-30,5.62,5.54,5.64,5.5,30615942.0,170269072.0
2012-01-31,5.55,5.58,5.59,5.45,21882327.0,121078416.0
2012-02-01,5.55,5.42,5.59,5.4,27218598.0,149724736.0
2012-02-02,5.46,5.54,5.54,5.35,30708137.0,167288560.0
2012-02-03,5.51,5.54,5.58,5.41,32721136.0,180264928.0
2012-02-06,5.57,5.6,5.73,5.5,41830311.0,234721120.0
2012-02-07,5.52,5.38,5.52,5.35,29451800.0,159566448.0
2012-02-08,5.39,5.63,5.75,5.35,46294568.0,257753824.0
2012-02-09,5.59,5.61,5.69,5.55,44215988.0,247668736.0
2012-02-10,5.58,5.64,5.82,5.53,54618300.0,310895904.0
2012-02-13,5.56,5.63,5.69,5.51,33597472.0,188419024.0
2012-02-14,5.62,5.66,5.74,5.57,33652160.0,190529232.0
2012-02-15,5.63,5.75,5.9,5.61,71020763.0,409422240.0
2012-02-16,5.72,5.69,5.78,5.59,42297764.0,240509904.0
2012-02-17,5.71,5.68,5.75,5.64,28444586.0,161923376.0
